uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-01-030-56867,dutch,kch,kch,56867,57227,spreker2 [v] (TIE2),360,164,full,talk,3,8,1.2444878574077598e-9,198,2
dutch-01-228-421869,dutch,ja,ja,421869,422277,spreker1 [v] (TIE0),408,100,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-099-121341,dutch,ja,ja,121341,121579,spreker2 [v] (TIE2),238,373,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-101-124408,dutch,ja [unk_utterance],ja,124408,125008,spreker2 [v] (TIE2),600,1279,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-02-111-137234,dutch,ja,ja,137234,137505,spreker1 [v] (TIE0),271,-701,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-117-141980,dutch,ja,ja,141980,142252,spreker2 [v] (TIE2),272,-340,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-130-154396,dutch,ja,ja,154396.00000000003,154837,spreker2 [v] (TIE2),440.9999999999709,68.0000000000291,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-131-154996,dutch,ja,ja,154996,155346,spreker2 [v] (TIE2),350,NA,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-02-141-161728,dutch,ja,ja,161728,161988,spreker2 [v] (TIE2),260,57,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-146-167862,dutch,ja,ja,167862,168213,spreker1 [v] (TIE0),351,-683.0000000000291,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-168-186146,dutch,nee,nee,186146,186666,spreker1 [v] (TIE0),520,442,full,talk,3,9041,1.4064268398529449e-6,2,2
dutch-02-175-193465,dutch,ja,ja,193465,193816,spreker2 [v] (TIE2),351,-317,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-179-197573,dutch,ja,ja,197573,197776,spreker2 [v] (TIE2),203,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-192-212002,dutch,ja,ja,212002,212398,spreker1 [v] (TIE0),396,-373,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-201-222164,dutch,ja,ja,222164,222402,spreker2 [v] (TIE2),238,419,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-205-226224,dutch,ja,ja,226224,226587,spreker1 [v] (TIE0),363,5,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-207-227323,dutch,ja,ja,227323,227549,spreker1 [v] (TIE0),226,-850,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-02-225-249706,dutch,nee,nee,249706,249932,spreker2 [v] (TIE2),226,NA,NA,talk,3,9041,1.4064268398529449e-6,2,2
dutch-02-234-258089,dutch,nee,nee,258089,258303.99999999997,spreker2 [v] (TIE2),214.9999999999709,576.0000000000291,NA,talk,3,9041,1.4064268398529449e-6,2,2
dutch-02-261-291439,dutch,ja,ja,291439,291782,spreker1 [v] (TIE0),343,11,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-289-333370,dutch,oké,oké,333370,333993,spreker2 [v] (TIE2),623,317,NA,talk,3,89,1.3844927413661329e-8,124,2
dutch-02-336-380013,dutch,ja,ja,380013,380341,spreker1 [v] (TIE0),328,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-385-431744,dutch,ja,ja,431744,431952,spreker2 [v] (TIE2),208,466,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-392-436443,dutch,ja,ja,436443,437034,spreker2 [v] (TIE2),591,426,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-02-448-500990,dutch,ja,ja,500990,501220,spreker2 [v] (TIE2),230,131,NA,talk,2,77862,1.2112289194185375e-5,1,2
